property_type,sector,price,price_per_sqft,built_up_area,latitude,longitude,bedRoom
flat,Sector-9,157.49327996786022,6325.183372731277,528.3841119185477,28.505787426805444,77.16740266567274,4
flat,Sector-5,65.68395082624957,3876.856393117248,1671.6516049853158,28.58781353970258,77.13949429233386,1
flat,Sector-3,182.66922920492135,7572.059729624799,640.7581892045934,28.559756647154735,77.13602815435206,1
flat,Sector-9,64.87373888194122,5093.852624460365,797.0447906701797,28.59958682210667,77.12372227564303,2
flat,Sector-7,62.416912512823316,4915.692641247488,793.8156169427622,28.470142363090343,77.15054332791154,1
house,Sector-3,36.21344353417613,5594.588526414187,2123.025755290159,28.553437657786226,77.03172102105862,3
house,Sector-1,110.25138066869987,3234.829833875275,2365.1121981635583,28.480386182721848,77.17617415183979,4
house,Sector-3,126.0229926546448,3831.416843780397,1958.4219127428992,28.49597512406078,77.17436870554904,1
house,Sector-5,41.1704687028199,6690.168082131852,2905.4313711863547,28.525501092643676,77.00584945660691,1
house,Sector-3,161.8396948381518,3413.9933396256324,1437.1764488092601,28.574735422837268,77.16516335011295,2
flat,Sector-1,107.05910190716469,6015.760547331941,1214.2802157046517,28.59681669383986,77.0257739734947,2
house,Sector-5,119.14634578568861,4226.745548406605,2671.497820473651,28.553654682772905,77.06702377085183,3
house,Sector-8,104.92966697949879,4946.478070209882,1058.9895962986316,28.483553356433468,77.14870165125832,4
flat,Sector-8,98.12972034880542,4443.4686838535,2908.0563486015285,28.484271400455413,77.03215197920966,2
house,Sector-10,125.13885632239705,4778.363582324746,530.3861867245408,28.54751646031778,77.16359340482381,1
flat,Sector-3,56.390841808221126,6595.229525921228,2924.6970667690975,28.44775542915366,77.16642683559155,4
house,Sector-8,60.92778218419609,4485.608578115875,607.8997798764403,28.422094822626278,77.10149354675217,4
flat,Sector-1,176.50355557229796,5832.023201484486,2727.8577842451778,28.470924431528154,77.00127717434337,1
house,Sector-4,190.83962856271756,5380.2520109954985,1819.2527727157496,28.457447798330815,77.05740762663498,2
house,Sector-4,93.462583767558,6318.35582681324,2982.4119902982507,28.459261624091198,77.12338538367516,1
flat,Sector-5,76.02659443440413,7684.14869662379,684.4914118384971,28.446721550209983,77.1962372356055,4
flat,Sector-8,139.47992235063268,6662.860486051251,1884.635711003302,28.40841863792727,77.12636270540334,5
flat,Sector-8,99.48480908667639,4074.7018929537835,2923.2563390477476,28.40357478694668,77.05196071621283,5
flat,Sector-4,34.31568046225863,3155.9156753064235,1807.744610425372,28.597544477947206,77.12680114061992,3
flat,Sector-8,56.54594155225236,4311.320221499125,2073.496595338156,28.485554626747174,77.10799707594317,1
flat,Sector-3,151.71527890405758,5975.389653501274,2239.371722461543,28.476865329431934,77.15596907903023,1
flat,Sector-7,142.01707012472573,3257.129067421252,1636.352661919433,28.535929456538614,77.02139612776539,3
flat,Sector-2,34.606318725592196,5481.831236006182,2068.8952002101587,28.443650777573012,77.15220558050041,3
house,Sector-10,67.73526752860141,5984.214244584446,1960.7857798077505,28.589992236790046,77.10825331573523,3
house,Sector-5,69.28271541997213,4671.219454084804,2752.8950262274725,28.55726900288311,77.1925984007718,4
flat,Sector-7,144.22176641178385,6854.5610187291095,613.6159508536447,28.41788220046245,77.06837443320774,1
house,Sector-4,33.350791418241904,3532.991265668859,1202.4079739805757,28.483516155156984,77.1265243786268,4
house,Sector-8,47.69845893737755,3375.688908679044,2876.028710191397,28.575823661512434,77.18640562110201,3
house,Sector-10,165.9857345134422,6640.943781018017,2725.6594597272906,28.588946404458284,77.02050194559814,1
house,Sector-8,60.35259254923672,5477.456581030992,1639.1418819642824,28.493480302249974,77.18744569744729,4
flat,Sector-1,140.9668383348187,6442.01198213868,2050.331494503842,28.522682277842144,77.13757714446017,4
house,Sector-1,70.49107277794351,5174.1366930187305,1193.4529574528317,28.433406789218413,77.01356741182103,3
flat,Sector-10,46.90503676908868,4232.010166195534,970.3028993094033,28.598233725227395,77.06019271338937,1
house,Sector-10,71.3392724699072,7095.511588370999,1659.2460123499554,28.44633434027669,77.14163441772907,3
house,Sector-4,152.78537841546205,6997.079394844896,1383.380570065132,28.588546354827027,77.01347012029376,1
house,Sector-10,175.46839957806858,6473.482354272133,1959.1402796271802,28.529929329798474,77.11643409203526,5
flat,Sector-3,171.13737697638857,4360.725686149814,694.3365924124621,28.521547358975774,77.06917661139059,2
house,Sector-8,97.52120003513733,5951.153334345436,2935.9870191654163,28.502537702203302,77.12418310355349,2
flat,Sector-7,143.57447321700985,4804.869484700134,2965.5268611990073,28.446133962343552,77.0091484067625,2
house,Sector-9,64.84733022068957,3457.9103666331707,2245.404285049363,28.4353056064011,77.17430736123048,3
flat,Sector-10,79.83511414437226,7586.567877311214,1840.240915860301,28.444097241814035,77.19469779383549,5
house,Sector-5,182.37708914859036,3684.093154594807,1273.8190407158195,28.43728765242885,77.19377557105715,1
flat,Sector-1,32.210326996825124,7751.1867691040125,2534.487549267372,28.555916894713352,77.14993036634858,4
flat,Sector-3,44.53645024525957,5230.028864789779,2211.827931384698,28.470025051833346,77.02601724802612,1
house,Sector-9,65.34066337482464,3925.664644193098,906.5423483622283,28.41156853531268,77.15165263918581,4
flat,Sector-7,34.51047465854935,5709.504736891791,2777.317961234606,28.593820526028164,77.00491738329175,1
house,Sector-9,60.84402396526554,7364.729179382041,2556.3431073079223,28.576757176992686,77.0044247103058,5
house,Sector-10,129.1170653648477,6661.124432047805,2874.49978322981,28.585550456639044,77.0647220438299,4
house,Sector-4,101.64217360072465,7032.805739307249,2314.2987709709,28.59898156452929,77.09772863808094,3
house,Sector-1,181.75419088308573,6293.916833553587,2033.5379898394747,28.434779049843897,77.15408148356155,1
house,Sector-1,168.96540549553495,6461.382822589262,1545.6075907265472,28.47924840378053,77.1366590753213,1
house,Sector-4,88.10894978863891,7245.978257826597,2831.821208385033,28.55164769514082,77.08918054127535,4
house,Sector-8,74.10198368331973,4248.34004429593,2665.159723751021,28.53920412361076,77.05472533325633,3
house,Sector-2,94.54770938843538,5447.124818215702,613.0466752654735,28.43077918126797,77.19942490003154,3
house,Sector-3,130.35014022751733,4106.047209098011,565.91743624313,28.563166624998125,77.08523626044719,5
house,Sector-1,75.57081893988897,7938.340039983235,1441.158417195124,28.44488811436733,77.09027740486593,3
house,Sector-5,136.10531433435278,7720.296698433066,2526.383326954582,28.444763522964525,77.03272476423834,3
flat,Sector-1,99.59998087251087,3197.1340568425294,2968.190323287361,28.507394884578684,77.15896190974999,3
